name,link,address,urls,score
СШ Тоголок Сон Кол,/profile:947/ssh-togolok-son-kol/?from=bilim&place=list,"Нарынская область, Кочкорский район c.Телек 722512, ул. Жээк 10",https://bilim.akipress.org/profile:947/ssh-togolok-son-kol/?from=bilim&place=list,115.3
СШ им. К.Мырзабекова,/profile:969/ssh-im-kmyrzabekova/?from=bilim&place=list,"Нарынская область, Кочкорский район c.Кум-Дебе 722711",https://bilim.akipress.org/profile:969/ssh-im-kmyrzabekova/?from=bilim&place=list,94.2
СШГ им. Н.Жундубаевой,/profile:956/sshg-im-nzhundubaevoi/?from=bilim&place=list,"Нарынская область, Кочкорский район c.Кочкорка 722800, ул. С.Алиева 27",https://bilim.akipress.org/profile:956/sshg-im-nzhundubaevoi/?from=bilim&place=list,102.3
СШ им. Дүрбөлөң Мамбетова,/profile:233/ssh-im-durbolon-mambetova/?from=bilim&place=list,"Нарынская область, Нарынский район c.Таш-Башат Орток айыл окмоту, Таш-Башат айылы",https://bilim.akipress.org/profile:233/ssh-im-durbolon-mambetova/?from=bilim&place=list,126.5
СШ  им. К.Керималиева,/profile:285/ssh-im-kkerimalieva/?from=bilim&place=list,"Нарынская область, Ат-Башынский район c.Кызыл-Туу Алиев көч. №8, Кызыл-Туу айылы, Ат-Башы району, Нарын облусу. Индекси: 722616",https://bilim.akipress.org/profile:285/ssh-im-kkerimalieva/?from=bilim&place=list,115.1
СШ имени Н.Г.Лященко,/profile:1078/ssh-imeni-nglyashchenko/?from=bilim&place=list,"Ыссык-Кульская область, Ыссык-Кульский район c.Ананьево Ул Панфилова №56 722324",https://bilim.akipress.org/profile:1078/ssh-imeni-nglyashchenko/?from=bilim&place=list,99.5
СШ им. Осмонова,/profile:1090/ssh-im-osmonova/?from=bilim&place=list,"Ыссык-Кульская область, Ыссык-Кульский район г.Чолпон-Ата 722100 3 микрорайон",https://bilim.akipress.org/profile:1090/ssh-im-osmonova/?from=bilim&place=list,нет
СШ им.Бостона,/profile:2087/ssh-imbostona/?from=bilim&place=list,"Ошская область, Араванский район c.Тепе-Коргон 715326 ул. Кулатова",https://bilim.akipress.org/profile:2087/ssh-imbostona/?from=bilim&place=list,78
УВК-гимназия №68,/profile:2176/uvkgimnaziya-68/?from=bilim&place=list,"Бишкек, Ленинский район  Токтогула 220",https://bilim.akipress.org/profile:2176/uvkgimnaziya-68/?from=bilim&place=list,142.9
СШ-гимназия №6,/profile:583/sshgimnaziya-6/?from=bilim&place=list,"Чуйская область, Жайылский район г.Кара-Балта 724411 ул.Ленина 10",https://bilim.akipress.org/profile:583/sshgimnaziya-6/?from=bilim&place=list,122.6
